City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Sioux Lookout,CA,50.1001,-91.917,73.47,68,40,10.36,scattered clouds
237,Kushiro,JP,42.975,144.3747,54.23,70,100,4.76,overcast clouds
238,Aleksandrovskoye,RU,44.7142,43.0008,64.74,65,100,4.43,overcast clouds
239,Rantauprapat,ID,2.1,99.8333,72.82,99,99,2.26,overcast clouds
240,Mago,RU,53.2514,140.1822,32.65,81,3,4.63,clear sky
241,Lompoc,US,34.6391,-120.4579,80.69,71,40,9.22,scattered clouds
242,Sangmelima,CM,2.9333,11.9833,67.33,99,100,2.57,overcast clouds
243,Am Timan,TD,11.0297,20.2827,69.31,89,100,3.89,overcast clouds
244,Matina,CR,10.0761,-83.2895,84.07,69,86,5.06,overcast clouds
245,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,5.75,light rain
246,Tokur,RU,53.1333,132.9,28.2,87,90,3.91,overcast clouds
247,Khatanga,RU,71.9667,102.5,21.81,91,94,6.51,overcast clouds
248,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,100,100,12.66,moderate rain
249,Hithadhoo,MV,-0.6,73.0833,81.52,71,8,4.74,clear sky
250,Pandan,PH,14.0453,124.1694,77.27,90,100,10.76,overcast clouds
251,Urman,RU,54.8831,56.8742,56.59,59,98,2.66,overcast clouds
252,Galveston,US,29.3669,-94.9669,95.18,61,40,9.22,scattered clouds
253,Egvekinot,RU,66.3167,-179.1667,34.83,86,33,7.45,scattered clouds
254,Calvinia,ZA,-31.4707,19.776,52.43,33,0,5.95,clear sky
255,Jinchang,CN,38.4953,102.1739,61.18,47,35,4.79,scattered clouds
256,Iqaluit,CA,63.7506,-68.5145,38.93,93,100,0.0,overcast clouds
257,Wuzhou,CN,23.4833,111.3167,74.8,82,57,2.93,broken clouds
258,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,87,100,9.22,light rain
259,Uniontown,US,39.9001,-79.7164,80.11,41,13,3.0,few clouds
260,Ambilobe,MG,-13.2,49.05,74.3,53,97,6.51,overcast clouds
261,Grindavik,IS,63.8424,-22.4338,51.75,100,40,6.91,scattered clouds
262,Padang,ID,-0.9492,100.3543,76.42,88,98,3.87,overcast clouds
263,Sao Filipe,CV,14.8961,-24.4956,79.2,76,26,7.74,scattered clouds
264,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,73.13,68,87,1.57,overcast clouds
265,Rawlins,US,41.7911,-107.2387,80.49,19,20,18.41,few clouds
266,College,US,64.8569,-147.8028,46.35,84,75,5.75,broken clouds
267,Rosario Oeste,BR,-14.8361,-56.4275,94.95,32,86,5.86,overcast clouds
268,Sur,OM,22.5667,59.5289,82.72,69,0,9.48,clear sky
269,Anupgarh,IN,29.1911,73.2086,87.67,40,3,10.11,clear sky
270,Bethel,US,41.3712,-73.414,76.66,61,20,6.91,few clouds
271,Cidreira,BR,-30.1811,-50.2056,62.01,86,98,11.52,overcast clouds
272,Jalu,LY,29.0331,21.5482,87.1,26,0,6.8,clear sky
273,Banjarmasin,ID,-3.3244,114.591,73.54,96,100,2.98,overcast clouds
274,Waddan,LY,29.1614,16.139,90.99,13,2,7.11,clear sky
275,Tazmalt,DZ,36.3868,4.3989,71.13,67,100,5.12,overcast clouds
276,Avila,ES,40.5833,-5.0,68.65,54,4,2.06,clear sky
277,Daman,IN,20.4167,72.85,77.5,84,68,5.48,broken clouds
278,Sapa,PH,5.1544,120.3241,80.92,77,100,3.91,overcast clouds
279,Eidsvoll,NO,60.3305,11.2616,41.77,89,0,5.75,clear sky
280,Souillac,MU,-20.5167,57.5167,70.18,88,40,11.5,light rain
281,Kamaishi,JP,39.2667,141.8833,55.92,75,72,6.46,broken clouds
282,Sao Felix Do Xingu,BR,-6.6447,-51.995,90.43,30,72,1.79,broken clouds
283,Siderno,IT,38.2779,16.302,67.33,80,55,4.83,broken clouds
284,Lamu,KE,-2.2717,40.902,75.42,79,64,12.77,broken clouds
285,Chunoyar,RU,57.4467,97.3217,34.02,87,39,10.92,scattered clouds
286,Naron,ES,43.5167,-8.1528,68.85,81,0,11.97,clear sky
287,Doctor Phillips,US,28.4495,-81.4923,89.06,75,75,23.02,mist
288,Taldan,RU,53.6667,124.8,33.94,87,100,0.31,overcast clouds
289,Sangar,RU,63.9242,127.4739,25.25,78,9,5.79,clear sky
290,Vallenar,CL,-28.5708,-70.7581,64.65,33,0,8.61,clear sky
291,Zhigansk,RU,66.7697,123.3711,28.35,88,89,15.59,overcast clouds
292,Miyakonojo,JP,31.7333,131.0667,63.09,87,91,4.03,overcast clouds
293,Victoria,HK,22.2855,114.1577,84.38,83,55,8.01,broken clouds
294,Hofn,IS,64.2539,-15.2082,51.31,99,100,5.75,overcast clouds
295,Henties Bay,NA,-22.116,14.2845,55.98,70,0,3.76,clear sky
296,Yulara,AU,-25.2406,130.9889,53.85,51,0,9.6,clear sky
297,Saquena,PE,-4.6667,-73.5167,75.27,92,60,8.88,broken clouds
298,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,12.66,broken clouds
299,Amot,NO,59.5714,7.9877,41.58,75,10,4.16,clear sky
300,Vila Velha,BR,-20.3297,-40.2925,76.95,83,0,18.41,clear sky
301,Aykino,RU,62.2248,49.9922,47.95,94,98,11.14,overcast clouds
302,San Patricio,US,28.017,-97.5169,91.49,48,25,13.15,scattered clouds
303,Luderitz,NA,-26.6481,15.1594,64.98,35,0,9.48,clear sky
304,Hovd,MN,48.0056,91.6419,46.6,33,1,1.99,clear sky
305,Mogok,MM,22.9167,96.5,66.04,98,100,2.26,overcast clouds
306,Yarada,IN,17.65,83.2667,79.12,94,75,2.3,mist
307,Beringovskiy,RU,63.05,179.3167,43.72,82,100,19.28,overcast clouds
308,Christchurch,NZ,-43.5333,172.6333,51.91,86,100,11.5,light rain
309,Batemans Bay,AU,-35.7167,150.1833,56.1,82,100,5.39,overcast clouds
310,Tamworth,GB,52.634,-1.6959,61.02,71,100,2.66,overcast clouds
311,Buala,SB,-8.145,159.5921,80.51,78,100,4.72,moderate rain
312,Mawlaik,MM,23.6333,94.4167,74.62,99,77,0.65,broken clouds
313,Filadelfia,US,39.9523,-75.1638,82.29,48,40,16.11,scattered clouds
314,Fare,PF,-16.7,-151.0167,78.22,74,2,14.94,clear sky
315,Tilichiki,RU,60.4667,166.1,48.52,96,100,15.95,moderate rain
316,Pleshanovo,RU,52.8333,53.4833,64.63,32,99,4.63,overcast clouds
317,Maniitsoq,GL,65.4167,-52.9,39.6,85,56,6.44,broken clouds
318,Nsanje,MW,-16.92,35.262,80.73,32,1,3.02,clear sky
319,Lasa,IT,46.6166,10.7002,56.28,88,14,5.88,few clouds
320,Oksovskiy,RU,62.6062,39.8984,47.93,88,97,11.14,overcast clouds
321,Nouadhibou,MR,20.931,-17.0347,75.18,78,8,19.57,clear sky
322,Nador,MA,35.174,-2.9287,73.65,88,0,4.61,clear sky
323,Akyab,MM,20.15,92.9,79.3,84,91,3.91,overcast clouds
324,Anadyr,RU,64.75,177.4833,41.0,75,20,17.0,few clouds
325,Lavrentiya,RU,65.5833,-171.0,39.34,70,14,5.21,few clouds
326,Mangaratiba,BR,-22.9597,-44.0406,72.46,85,80,2.24,broken clouds
327,Komsomolskiy,UZ,40.4272,71.7189,70.52,43,14,4.61,few clouds
328,Zyryanka,RU,65.75,150.85,34.77,98,100,14.92,snow
329,Chiredzi,ZW,-21.05,31.6667,64.92,80,27,12.68,scattered clouds
330,Seoul,KR,37.5683,126.9778,56.64,85,0,2.3,clear sky
331,Saint Anthony,US,45.0205,-93.218,93.15,60,0,10.36,clear sky
332,Hami,CN,42.8,93.45,66.99,26,1,10.45,clear sky
333,Mehran,IR,33.1222,46.1646,90.52,8,39,7.45,scattered clouds
334,Canyon,US,34.9803,-101.9188,92.25,33,1,16.37,clear sky
335,Salalah,OM,17.0151,54.0924,78.89,94,75,5.75,broken clouds
336,Onguday,RU,50.75,86.15,44.15,81,13,1.79,few clouds
337,Laguna,US,38.421,-121.4238,77.31,61,40,5.99,scattered clouds
338,Eureka,US,40.8021,-124.1637,75.74,74,23,8.01,few clouds
339,Sivaki,RU,52.6333,126.75,38.35,74,77,5.14,broken clouds
340,Dunedin,NZ,-45.8742,170.5036,48.79,92,68,6.15,broken clouds
341,Shingu,JP,33.7333,135.9833,64.49,74,99,4.99,overcast clouds
342,Torres,BR,-29.3353,-49.7269,63.93,83,34,13.8,scattered clouds
343,Annau,TM,37.8876,58.516,72.9,33,0,4.61,clear sky
344,Ferme-Neuve,CA,46.7001,-75.4493,57.78,76,97,4.81,overcast clouds
345,Arcata,US,40.8665,-124.0828,75.74,73,0,9.22,clear sky
346,Port Washington,US,40.8257,-73.6982,80.62,55,75,11.5,broken clouds
347,Mount Pleasant,US,32.7941,-79.8626,91.54,58,40,8.05,scattered clouds
