City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Luwuk,ID,75.4,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
169,Vila Franca Do Campo,PT,77.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
172,Bonthe,SL,76.77,light rain,7.5264,-12.505,Bonthe Holiday Village
175,Half Moon Bay,US,80.55,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
183,Kontagora,NG,72.27,clear sky,10.3999,5.4695,Queens Guest Inn
195,Lohardaga,IN,71.92,overcast clouds,23.4333,84.6833,Shorya Sweet Palace
196,Nong Chik,TH,78.55,overcast clouds,6.8436,101.178,Bakkahland Farm and Resort
197,Chardara,KZ,70.93,clear sky,41.2547,67.9692,Жанаргул
199,Hit,IQ,87.21,clear sky,33.6416,42.8251,المعلق حسان رزاق
203,Anton Lizardo,MX,86.22,overcast clouds,19.05,-95.9833,Hotel CocoAventura
206,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
208,Soyo,AO,73.81,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
213,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
214,Los Llanos De Aridane,ES,71.35,overcast clouds,28.6585,-17.9182,Valle Aridane
216,Labuhan,ID,77.41,overcast clouds,-6.8844,112.2051,DoubleFAG
217,Arrifes,PT,75.24,few clouds,37.7667,-25.7,Hotel Ponta Delgada
218,Rio Blanco,MX,73.71,overcast clouds,18.8333,-97.15,HOTEL L'ORBE EN ORIZABA
221,Chirongui,YT,75.13,few clouds,-12.9319,45.1483,La Villa Mahatsara
223,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
225,Dingle,PH,75.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
227,Tahta,EG,80.71,clear sky,26.7693,31.5021,فندق الزيات
230,Beaver Dam,US,78.42,clear sky,43.4578,-88.8373,"AmericInn by Wyndham, Beaver Dam"
234,Bengkulu,ID,74.82,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
